name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury,averageAdp,sleeperAdp,espnAdp,yahooAdp,nflAdp,ffCheatsheetAdp
Aaron Rodgers,QB,PIT,3149.5,20.5,9.0,82.0,0.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/cba593cd8d8947b4b21ca77b994a66fe.png,201.18,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Baker Mayfield,QB,TB,3550.5,25.5,10.0,239.0,2.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/48dd5e8c2f7f4e379e5d3e0fa3ea435b.png,262.92,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Bo Nix,QB,DEN,3475.5,24.5,9.5,400.0,3.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/ec1a5f08c05a4b8ebd7e1baa6574a595.png,279.02,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Brock Purdy,QB,SF,3750.5,27.5,10.0,182.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/10f8254f8f8c4a1c95fdfd1a3a90faa2.png,267.22,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Bryce Young,QB,CAR,3074.5,20.5,11.0,212.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/74163d32a8e449f8a97c1348aa009fe8.png,213.18,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
C.J. Stroud,QB,HOU,3600.5,22.5,9.0,196.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/e1b6d4be6b884896bb9e9efa11f6f1d5.png,244.62,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Caleb Williams,QB,CHI,3624.5,24.5,9.0,487.0,3.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/dfc8ef8a44244027ba69a5113917316d.png,294.68,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Cam Ward,QB,TEN,3299.5,18.5,10.0,196.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/28be34b579944d79b33fd67af94e5034.png,214.57999999999998,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Dak Prescott,QB,DAL,4000.5,27.5,9.5,159.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/409c19f19f344a85bebafe8b863715d7.png,275.92,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Drake Maye,QB,NE,3750.5,26.5,9.0,424.5,3.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/bcc18de6fea543a182f46d960757e3c1.png,301.47,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Fernando Mendoza,QB,LV,2399.5,12.5,8.0,476.0,7.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/ac6d37013bfb4bf4aa766ddeaac544d6.png,219.57999999999998,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jalen Hurts,QB,PHI,3249.5,22.5,9.0,400.5,8.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/54eb97f9cc364c36b0e2c7de68d3e671.png,293.03,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jared Goff,QB,DET,4050.5,29.5,10.0,82.0,0.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/f488122dbc1d4db3abd01e2292358c8f.png,271.22,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jaxson Dart,QB,NYG,3150.5,19.5,8.5,449.5,5.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/3064da7df25141b39b8c19a97196e9d2.png,264.97,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jayden Daniels,QB,WAS,3250.5,21.5,9.0,550.5,4.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/a4955c0d0cdb4bad9314010068168463.png,280.07,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Joe Burrow,QB,CIN,3999.5,32.5,8.5,112.0,1.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/ac325257a7a14418810d445d7a51694e.png,290.17999999999995,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Jordan Love,QB,GB,3525.5,24.5,9.0,171.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/dc52cb352f7e4bc3acc9e0b90f54db36.png,247.12,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Josh Allen,QB,BUF,3600.5,24.5,10.0,500.5,11.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/f5332efaa4c640e6bd445863e4f45373.png,341.07,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Justin Herbert,QB,LAC,3650.5,25.5,8.5,300.5,3.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/62a5b58826114e138a307e290f351427.png,279.07,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Kyler Murray,QB,MIN,3000.5,17.5,10.0,375.5,3.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/170e031e620c4d6dbb8f453458701462.png,225.57,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
Lamar Jackson,QB,BAL,3249.5,24.5,9.0,575.5,3.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/3b6a5896665848aa9ecf7686f5baac32.png,288.53,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
