name,position,team,passingYards,passingTouchdowns,interceptions,rushingYards,rushingTouchdowns,receptions,receivingYards,receivingTouchdowns,fumbles,image,teamImage,fantraxPPR,sleeperPPR,espnPPR,yahooPPR,underdogHalfPPR,sleeperHalfPPR,fantraxStandard,sleeperStandard,consensusPPR,consensusHalfPPR,consensusStandard,score,rank,value,tier,scarcity,adp,bye,sacks,fantasyScore,drafted,injury
Aaron Rodgers,QB,PIT,3149.5,20.5,9.5,51.0,0.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/cba593cd8d8947b4b21ca77b994a66fe.png,https://static.sprtactn.co/teamlogos/nfl/100/pit.png,254,239,169,118.0,177.0,239,0.0,0.0,204,208,0.0,197.08,0,0,0,,0,0,0,0,0,
Baker Mayfield,QB,TB,3550.5,25.5,10.5,227.0,1.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/48dd5e8c2f7f4e379e5d3e0fa3ea435b.png,https://static.sprtactn.co/teamlogos/nfl/100/tb.png,115,145,149,128.0,119.0,148,0.0,151.0,136,133,151.0,251.72000000000003,0,0,0,,0,0,0,0,0,
Bo Nix,QB,DEN,3475.5,24.5,10.5,381.0,3.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/ec1a5f08c05a4b8ebd7e1baa6574a595.png,https://static.sprtactn.co/teamlogos/nfl/100/den.png,103,115,92,101.0,107.0,117,0.0,124.0,102,112,124.0,275.12,0,0,0,,0,0,0,0,0,
Brock Purdy,QB,SF,3750.5,27.5,6.5,145.0,2.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/10f8254f8f8c4a1c95fdfd1a3a90faa2.png,https://static.sprtactn.co/teamlogos/nfl/100/sf.png,98,108,104,98.0,100.0,112,0.0,126.0,101,106,126.0,273.52,0,0,0,,0,0,0,0,0,
Bryce Young,QB,CAR,3074.5,20.5,6.5,151.0,2.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/74163d32a8e449f8a97c1348aa009fe8.png,https://static.sprtactn.co/teamlogos/nfl/100/car.png,220,218,168,125.0,161.0,211,215.0,199.0,193,186,207.0,219.08,0,0,0,,0,0,0,0,0,
C.J. Stroud,QB,HOU,3600.5,22.5,10.5,147.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/e1b6d4be6b884896bb9e9efa11f6f1d5.png,https://static.sprtactn.co/teamlogos/nfl/100/hou.png,204,191,166,126.0,145.0,193,198.0,190.0,178,169,194.0,236.72000000000003,0,0,0,,0,0,0,0,0,
Caleb Williams,QB,CHI,3649.5,24.5,9.5,422.0,4.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/dfc8ef8a44244027ba69a5113917316d.png,https://assets.actionnetwork.com/598430_bears1.png,66,75,92,71.0,72.0,83,0.0,87.0,73,78,87.0,291.18,0,0,0,,0,0,0,0,0,
Cam Ward,QB,TEN,3299.5,19.5,8.0,143.0,3.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/28be34b579944d79b33fd67af94e5034.png,https://assets.actionnetwork.com/683711_titans.png,212,182,167,128.0,142.0,190,205.0,196.0,175,166,201.0,226.27999999999997,0,0,0,,0,0,0,0,0,
Dak Prescott,QB,DAL,4000.5,27.5,9.5,128.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/409c19f19f344a85bebafe8b863715d7.png,https://static.sprtactn.co/teamlogos/nfl/100/dal.png,74,84,88,77.0,80.0,90,0.0,103.0,81,85,103.0,272.82000000000005,0,0,0,,0,0,0,0,0,
Daniel Jones,QB,IND,3300.5,18.5,5.0,190.0,2.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/418302b7b344454cb09d2580ccd4d3d1.png,https://static.sprtactn.co/teamlogos/nfl/100/ind.png,209,206,160,129.0,147.0,194,200.0,226.0,183,170,213.0,230.02,0,0,0,,0,0,0,0,0,
Drake Maye,QB,NE,3750.5,26.5,9.0,424.5,3.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/bcc18de6fea543a182f46d960757e3c1.png,https://static.sprtactn.co/teamlogos/nfl/100/ne.png,55,50,48,47.0,67.0,55,0.0,42.0,49,61,42.0,301.47,0,0,0,,0,0,0,0,0,
Fernando Mendoza,QB,LV,2299.5,12.5,8.5,178.0,2.0,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/ac6d37013bfb4bf4aa766ddeaac544d6.png,https://static.sprtactn.co/teamlogos/nfl/100/oak.png,272,189,167,123.0,185.0,203,267.0,236.0,178,194,251.0,154.78,0,0,0,,0,0,0,0,0,
Jacoby Brissett,QB,ARI,2725.5,13.5,9.0,99.0,1.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/be5b0ab78128431999fe3040fc35d362.png,https://static.sprtactn.co/teamlogos/nfl/100/ari.png,241,237,170,0.0,192.0,216,230.0,232.0,237,204,231.0,163.92,0,0,0,,0,0,0,0,0,
Jalen Hurts,QB,PHI,3249.5,22.5,6.5,400.5,8.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/54eb97f9cc364c36b0e2c7de68d3e671.png,https://static.sprtactn.co/teamlogos/nfl/100/phi.png,69,63,55,56.0,72.0,68,0.0,69.0,60,70,69.0,298.03,0,0,0,,0,0,0,0,0,
Jared Goff,QB,DET,4050.5,29.5,9.5,25.0,0.5,0.0,0.0,0.0,0.0,https://assets.actionnetwork.com/200x200/f488122dbc1d4db3abd01e2292358c8f.png,https://static.sprtactn.co/teamlogos/nfl/100/det.png,101,122,140,116.0,110.0,131,0.0,135.0,119,120,135.0,266.52,0,0,0,,0,0,0,0,0,
